"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.49224815538096e-06,3.8319182049346,0.25,0.011,0.0753206912028945,"CMP","ZNF426"
5.63425803812301e-06,2.40051137491177,0.5,0.039,0.0772682147348189,"CMP","AKR1C3"
5.72027319245549e-06,2.54418565938255,0.75,0.082,0.0784478265613346,"CMP","CUTC"
5.74177642587159e-06,5.04584979792148,0.25,0.011,0.078742721904403,"CMP","ZCCHC3"
5.94635509609809e-06,2.32984276974018,1,0.155,0.0815483137878892,"CMP","LYPLA1"
6.15471715836868e-06,2.90037201789262,0.5,0.039,0.0844057911098681,"CMP","USP22"
7.45979586480594e-06,3.51832255138968,0.5,0.042,0.102303640489949,"CMP","DFFA"
7.45979648852924e-06,3.55906273247369,0.5,0.042,0.10230364904369,"CMP","KPNA2"
8.31197302098019e-06,3.9529755575601,0.25,0.011,0.113990398009722,"CMP","SLC4A10"
8.31197385786631e-06,3.77594936765349,0.25,0.011,0.113990409486779,"CMP","PAFAH2"
8.31197385786631e-06,4.05062047233166,0.25,0.011,0.113990409486779,"CMP","CHAC2"
8.4517239751225e-06,3.80104257602629,0.25,0.011,0.11590694259483,"CMP","ADNP"
8.45172567465191e-06,3.84686100185503,0.25,0.011,0.115906965902176,"CMP","NDUFAF5"
8.5937207001674e-06,2.59593251854621,0.25,0.011,0.117854285682096,"CMP","PDIK1L"
8.59372156281069e-06,3.88840570689457,0.25,0.011,0.117854297512386,"CMP","ZNF197"
8.59372156281069e-06,3.97560752737021,0.25,0.011,0.117854297512386,"CMP","CLDN15"
8.59372156281069e-06,3.99598715858046,0.25,0.011,0.117854297512386,"CMP","CCDC102A"
8.59372156281069e-06,3.79161089596213,0.25,0.011,0.117854297512386,"CMP","PRR12"
8.71034406135784e-06,4.87256354367512,0.25,0.011,0.119453658457461,"CMP","RPGR"
8.76131622651322e-06,2.7943211971917,0.5,0.041,0.120152690730402,"CMP","GALNT11"
9.4040355678171e-06,2.83286642310777,0.5,0.041,0.128966943777044,"CMP","ZSCAN16-AS1"
9.4522287723553e-06,4.50284791902707,0.25,0.011,0.129627865384081,"CMP","SERPING1"
1.00815992327696e-05,2.73462802314384,0.75,0.09,0.138259051878203,"CMP","ACTR1A"
1.14869518230698e-05,4.04756899231465,0.25,0.011,0.157532057301579,"CMP","SORD"
1.16741997437941e-05,4.18750104869809,0.25,0.011,0.160099975286393,"CMP","RPP25"
1.19342232214326e-05,2.79311524354535,0.75,0.091,0.163665937258726,"CMP","EIF2AK1"
1.20574723425637e-05,4.03539149408205,0.25,0.011,0.165356175705919,"CMP","EXOC8"
1.20574723425637e-05,3.98992635038665,0.25,0.011,0.165356175705919,"CMP","ATL2"
1.20574723425637e-05,3.94621488637124,0.25,0.011,0.165356175705919,"CMP","FXYD6"
1.24527360667592e-05,3.7622146165587,0.25,0.011,0.170776822419536,"CMP","MAVS"
1.24527360667592e-05,3.80349643243572,0.25,0.011,0.170776822419536,"CMP","ZNF529"
